Brand,Model,Year,Price,Mileage,Transmission,Fuel Type,Previous Owners,Color,Body Type,Engine position,Engine capacity (litre),Cylinder layout and quantity,Seats (quantity),No of doors,Front tyres,Rear tyres,Driven wheels,Fuel capacity,Fuel consumption (average),Fuel range (average),Power maximum (detail),Torque maximum,Acceleration 0-100 km/h,Maximum/top speed,CO2 emissions (average)
Mercedes-AMG,A-Class A45 S Hatch 4Matic+,2021,1299950.0,10172.0,Automatic,Petrol,Unknown,Red metallic designo patagonia,Hatchback,Front,2.0,i4,5.0,5.0,235/35 R19,235/35 R19,All Wheel Drive,51.0,8.4,607.0,310.0,500.0,3.9,270.0,202.0
Ford,Ranger 3.2TDCi Double Cab Hi-Rider Wildtrak Auto,2018,479900.0,89962.0,Automatic,Diesel,1,White,Double cab,Front,3.2,i5,5.0,4.0,265/60 R18,265/60 R18,4x2,80.0,8.5,941.0,147.0,470.0,,,225.0
Audi,Q7 45TDI Quattro S Line,2023,1599990.0,3500.0,Automatic,Diesel,Unknown,Silver,SUV,Front,3.0,V6,5.0,5.0,285/45 R20 (opt 285/45 R21 / opt 285/35 R22),285/45 R20 (opt 285/45 R21 / opt 285/35 R22),All Wheel Drive,85.0,8.0,938.0,183.0,600.0,6.9,225.0,210.0
Ford,Ranger 2.2TDCi Double Cab Hi-Rider XL Auto,2018,349900.0,115630.0,Automatic,Diesel,Unknown,White,Double cab,Front,2.2,i4,5.0,4.0,255/70 R16,255/70 R16,4x2,80.0,7.5,1067.0,118.0,385.0,,,197.0
Volkswagen,Polo Sedan 1.4 Trendline,2021,215000.0,55000.0,Manual,Petrol,Unknown,White,Sedan,Front,1.4,i4,5.0,4.0,175/70 R14,175/70 R14,Front Wheel Drive,55.0,5.9,932.0,63.0,132.0,12.8,178.0,139.0
Suzuki,Swift 1.2 GL,2021,179900.0,23877.0,Manual,Petrol,Unknown,White,Hatchback,Front,1.2,i4,5.0,5.0,165/80 R14,165/80 R14,Front Wheel Drive,37.0,4.9,755.0,61.0,113.0,12.0,170.0,116.0
Mazda,CX-5 2.0 Active Auto,2019,299900.0,117512.0,Automatic,Petrol,1,Bronze,SUV,Front,2.0,i4,5.0,5.0,225/65 R17,225/65 R17,Front Wheel Drive,56.0,6.9,812.0,121.0,213.0,10.4,,160.0
Ford,Everest 2.0 Biturbo 4x4 Sport,2023,965000.0,100.0,Automatic,Diesel,Unknown,Grey,SUV,Front,2.0,i4,7.0,5.0,255/50 R20 (opt 255/65 R18),255/50 R20 (opt 255/65 R18),4x4,76.0,7.5,1013.0,154.0,500.0,,,198.0
Nissan,Almera 1.5 Acenta Auto,2019,129000.0,62000.0,Automatic,Petrol,1,Grey,Sedan,Front,1.5,i4,5.0,4.0,185/65 R15,185/65 R15,Front Wheel Drive,41.0,7.2,569.0,73.0,134.0,,183.0,171.0
Suzuki,Swift 1.2 GL,2022,189900.0,32991.0,Manual,Petrol,Unknown,White,Hatchback,Front,1.2,i4,5.0,5.0,165/80 R14,165/80 R14,Front Wheel Drive,37.0,4.9,755.0,61.0,113.0,12.0,170.0,116.0
Toyota,Corolla 1.4D-4D Prestige,2018,227900.0,93700.0,Manual,Diesel,Unknown,White,Sedan,Front,1.4,i4,5.0,4.0,205/55 R16,205/55 R16,Front Wheel Drive,55.0,4.5,1222.0,66.0,205.0,12.5,180.0,119.0
Ford,Focus ST 1,2018,329999.0,89000.0,Manual,Petrol,Unknown,White,Hatchback,Front,2.0,i4,5.0,5.0,235/40 R18,235/40 R18,Front Wheel Drive,55.0,6.8,809.0,184.0,360.0,6.5,248.0,159.0
Renault,Kwid 1.0 Dynamique,2019,105000.0,69000.0,Manual,Petrol,Unknown,Blue,Hatchback,Front,1.0,i3,5.0,5.0,165/70 R14,165/70 R14,Front Wheel Drive,28.0,4.7,596.0,50.0,91.0,,152.0,112.0
Ford,Ranger 2.2TDCi Double Cab Hi-Rider XL,2018,329900.0,74769.0,Manual,Diesel,1,Blue,Double cab,Front,2.2,i4,5.0,4.0,255/70 R16,255/70 R16,4x2,80.0,6.9,1159.0,118.0,385.0,,,182.0
Suzuki,Jimny 1.5 GLX AllGrip,2020,349900.0,44000.0,Manual,Petrol,Unknown,Grey,SUV,Front,1.5,i4,4.0,3.0,205/70 R15,205/70 R15,4x4,40.0,6.3,635.0,75.0,130.0,,,146.0
Renault,Triber 1.0 Zen,2022,185400.0,31360.0,Manual,Petrol,Unknown,White,MPV,Front,1.0,i3,7.0,5.0,165/80 R14,165/80 R14,Front Wheel Drive,40.0,5.5,727.0,52.0,96.0,,,131.0
Ford,Ranger 2.0 Biturbo Double Cab Wildtrak,2023,778300.0,250.0,Automatic,Diesel,Unknown,Grey,Double cab,Front,2.0,i4,5.0,4.0,255/65 R18 (opt R20),255/65 R18 (opt R20),4x2,80.0,7.2,1111.0,154.0,500.0,,,188.0
Volkswagen,Polo Hatch 1.0TSI 70kW,2023,315000.0,4000.0,Manual,Petrol,1,Pure white,Hatchback,Front,1.0,i3,5.0,5.0,185/70 R14 (opt 185/65 R15),185/70 R14 (opt 185/65 R15),Front Wheel Drive,40.0,5.3,755.0,70.0,175.0,10.8,187.0,121.0
BMW,3 Series 318i M Sport auto,2018,319990.0,84344.0,Automatic,Petrol,Unknown,Blue,Sedan,Front,1.5,i3,5.0,4.0,225/45 R18 (opt 225/40 R19),255/40 R18 (opt 255/35 R19),Rear Wheel Drive,60.0,5.0,1200.0,100.0,220.0,9.1,210.0,116.0
Nissan,Almera 1.5 Acenta Auto,2021,149500.0,39000.0,Automatic,Petrol,1,White,Sedan,Front,1.5,i4,5.0,4.0,185/65 R15,185/65 R15,Front Wheel Drive,41.0,7.2,569.0,73.0,134.0,,183.0,171.0
Renault,Kwid 1.0 Dynamique,2021,124900.0,35806.0,Manual,Petrol,Unknown,Silver,Hatchback,Front,1.0,i3,5.0,5.0,165/70 R14,165/70 R14,Front Wheel Drive,28.0,4.7,596.0,50.0,91.0,,152.0,112.0
MINI,Hatch Cooper S Hatch 3-Door,2022,569000.0,4073.0,Automatic,Petrol,Unknown,Rooftop grey metallic,Hatchback,Front,2.0,i4,4.0,3.0,205/45 R17 (opt 205/40 R18),205/45 R17 (opt 205/40 R18),Front Wheel Drive,44.0,6.0,800.0,141.0,280.0,6.7,235.0,136.0
Volkswagen,Tiguan 1.4TSI 110kW R-Line,2023,794900.0,4000.0,Automatic,Petrol,1,Lapiz blue,SUV,Front,1.4,i4,5.0,5.0,255/45 R19 (opt 255/40 R20),255/45 R19 (opt 255/40 R20),Front Wheel Drive,58.0,7.7,753.0,110.0,250.0,9.2,200.0,175.0
Kia,Seltos 1.6 EX Auto,2022,379900.0,5883.0,Automatic,Petrol,1,White,SUV,Front,1.6,i4,5.0,5.0,205/65 R16,205/65 R16,Front Wheel Drive,50.0,7.2,694.0,90.0,151.0,11.2,175.0,164.0
Volkswagen,T-Cross 1.0TSI 85kW Highline,2021,419900.0,67085.0,Automatic,Petrol,Unknown,Black,SUV,Front,1.0,i3,5.0,5.0,215/45 R18,215/45 R18,Front Wheel Drive,40.0,5.3,755.0,85.0,200.0,10.2,193.0,126.0
Ford,Tourneo Custom 2.0SiT LWB Trend,2020,629900.0,52000.0,Automatic,Diesel,Unknown,White,MPV,Front,2.0,i4,8.0,5.0,235/55 R17,235/55 R17,Front Wheel Drive,80.0,6.7,1194.0,96.0,360.0,,,174.0
Toyota,Agya 1.0 Auto,2021,195990.0,28895.0,Automatic,Petrol,1,White,Hatchback,Front,1.0,i3,5.0,5.0,175/65 R14,175/65 R14,Front Wheel Drive,33.0,4.9,674.0,49.0,89.0,16.3,145.0,115.0
Mercedes-AMG,C-Class C63 S,2019,1349900.0,32000.0,Automatic,Petrol,Unknown,Blue,Sedan,Front,4.0,V8,5.0,4.0,245/35 R19,265/35 R19,Rear Wheel Drive,66.0,9.9,667.0,375.0,700.0,4.0,290.0,227.0
BMW,5 Series 530d M Sport,2018,549000.0,94000.0,Automatic,Diesel,1,White,Sedan,Front,3.0,i6,5.0,4.0,245/45 R18 (opt 245/40 R19 / opt 245/35 R20),275/40 R18 (opt 275/35 R19 / opt 275/30 R20),Rear Wheel Drive,66.0,5.1,1294.0,195.0,620.0,5.7,250.0,134.0
Hyundai,Venue 1.0T Motion,2021,279995.0,17000.0,Manual,Petrol,1,Charcoal,SUV,Front,1.0,i3,5.0,5.0,195/65 R15,195/65 R15,Front Wheel Drive,45.0,6.5,692.0,88.0,172.0,11.3,183.0,146.0
Suzuki,Ertiga 1.5 GA,2022,269650.0,30554.0,Manual,Petrol,1,White,MPV,Front,1.5,i4,7.0,5.0,185/65 R15,185/65 R15,Front Wheel Drive,45.0,6.2,726.0,77.0,138.0,,175.0,146.0
Ford,Ranger 2.0Bi-Turbo Double Cab 4x4 Raptor,2022,929900.0,20000.0,Automatic,Diesel,1,Grey,Double cab,Front,2.0,i4,5.0,4.0,285/70 R17,285/70 R17,4x4,80.0,8.3,964.0,157.0,500.0,,,220.0
Kia,Sportage 2.0CRDi SX AWD,2018,349900.0,83000.0,Automatic,Diesel,Unknown,Grey,SUV,Front,2.0,i4,5.0,5.0,245/45 R19,245/45 R19,All Wheel Drive,62.0,6.8,912.0,130.0,400.0,9.5,201.0,178.0
Mercedes-AMG,GLC GLC43 4Matic,2018,899900.0,62783.0,Automatic,Petrol,1,White,SUV,Front,3.0,V6,5.0,5.0,235/55 R19 (opt 255/45 R20 / opt 255/40 R21),255/50 R19 (opt 255/45 R20 / opt 285/40 R20 / opt 285/35 R21),All Wheel Drive,66.0,8.7,759.0,270.0,520.0,4.9,250.0,199.0
Toyota,Yaris 1.5 Xs,2019,189000.0,104870.0,Manual,Petrol,Unknown,Crimson metallic (3r3),Hatchback,Front,1.5,i4,5.0,5.0,195/50 R16,195/50 R16,Front Wheel Drive,42.0,5.9,712.0,79.0,140.0,,180.0,136.0
Land,Rover Discovery Sport D180 R-Dynamic SE,2021,899990.0,33000.0,Automatic,Diesel,1,White,SUV,Front,2.0,i4,7.0,5.0,235/55 R19 (opt 245/40 R20 / opt 245/45 R21),235/55 R19 (opt 245/40 R20 / opt 245/45 R21),All Wheel Drive,65.0,5.8,1121.0,132.0,430.0,9.7,202.0,152.0
Kia,Rio Hatch 1.4 EX Auto,2019,259900.0,60545.0,Automatic,Petrol,1,Green,Hatchback,Front,1.4,i4,5.0,5.0,185/65 R15,185/65 R15,Front Wheel Drive,45.0,6.2,726.0,74.0,135.0,12.9,175.0,148.0
Nissan,Almera 1.5 Acenta Auto,2023,309800.0,500.0,Automatic,Petrol,1,Silver,Sedan,Front,1.5,i4,5.0,4.0,185/65 R15,185/65 R15,Front Wheel Drive,41.0,7.2,569.0,73.0,134.0,,183.0,171.0
BMW,X2 sDrive18i M Sport,2023,799900.0,7000.0,Automatic,Petrol,1,White,SUV,Front,1.5,i3,5.0,5.0,225/45 R19 (opt 225/40 R20),225/45 R19 (opt 225/40 R20),Front Wheel Drive,61.0,6.3,810.0,103.0,220.0,9.6,205.0,143.0
Ford,Ranger 2.0Bi-Turbo Double Cab 4x4 Raptor Special Edition,2022,1029900.0,4000.0,Automatic,Diesel,Unknown,Grey,Double cab,Front,2.0,i4,5.0,4.0,285/70 R17,285/70 R17,4x4,80.0,8.3,964.0,157.0,500.0,,,220.0
Toyota,Land Cruiser 300 3.5T GR Sport,2022,2050000.0,30500.0,Automatic,Petrol,2,White,SUV,Front,3.4,V6,7.0,5.0,265/65 R18,265/65 R18,All Wheel Drive,110.0,2.1,909.0,305.0,650.0,,210.0,291.0
